d:cdsxmatch,i:fid,i:jd,i:magpsf,i:objectId,i:sigmapsf
TTau*,2,2459418.978588,16.287573,ZTF18aabfdpx,0.07588402
Orion_V*,2,2459412.9910995,15.845209,ZTF18aabfdpx,0.037810918
Orion_V*,2,2459412.9887384,15.931157,ZTF18aabfdpx,0.062227370000000004
Orion_V*,2,2459412.9863773,15.882482,ZTF18aabfdpx,0.08449042600000001
Orion_V*,2,2459412.9840046,16.164602,ZTF18aabfdpx,0.06565526000000001
Orion_V*,2,2459412.9816435,15.911902,ZTF18aabfdpx,0.08070681
TTau*,2,2459411.9904861,15.607568,ZTF18aabfdpx,0.042337187000000005
Orion_V*,2,2459411.9880671,15.613168,ZTF18aabfdpx,0.045040004
Orion_V*,2,2459411.9856366,15.538074,ZTF18aabfdpx,0.053292610000000004
Orion_V*,2,2459411.9832176,15.528084,ZTF18aabfdpx,0.0397803
Orion_V*,2,2459410.9887847,16.620226,ZTF18aabfdpx,0.055357344
Orion_V*,2,2459410.9863542,16.40058,ZTF18aabfdpx,0.09109188600000001
Orion_V*,2,2459410.9815162,16.248213,ZTF18aabfdpx,0.10962359
Orion_V*,2,2459409.9879977,16.142008,ZTF18aabfdpx,0.10710084
Orion_V*,2,2459409.9855671,15.92988,ZTF18aabfdpx,0.055283476000000005
Orion_V*,2,2459409.9831481,15.885513,ZTF18aabfdpx,0.092530735
Orion_V*,2,2459409.9807292,15.928999,ZTF18aabfdpx,0.0460506
TTau*,2,2459409.9783102,16.21472,ZTF18aabfdpx,0.10019847
Orion_V*,1,2459306.6650579,17.477146,ZTF18aabfdpx,0.055086754
Orion_V*,1,2459301.7004398,18.233889,ZTF18aabfdpx,0.11449005
Orion_V*,2,2459298.6557986,15.802921,ZTF18aabfdpx,0.055076227000000005
Orion_V*,1,2459296.6791204,17.218958,ZTF18aabfdpx,0.059212517000000006
Orion_V*,2,2459296.6607407,15.31045,ZTF18aabfdpx,0.03552233
Orion_V*,2,2459291.6936574,15.723989,ZTF18aabfdpx,0.06949008
Orion_V*,2,2459280.7268056,15.180250000000001,ZTF18aabfdpx,0.050660364000000006
Orion_V*,1,2459280.6834838,17.188574,ZTF18aabfdpx,0.08314373
Orion_V*,1,2459276.6857639,17.953896,ZTF18aabfdpx,0.08731491
Orion_V*,2,2459274.7689352,15.408721,ZTF18aabfdpx,0.032345776
TTau*,1,2459274.7474421,17.580078,ZTF18aabfdpx,0.14758682
Orion_V*,2,2459272.7008565,16.090439,ZTF18aabfdpx,0.0422159
TTau*,1,2459272.637419,18.09953,ZTF18aabfdpx,0.11389066
Orion_V*,1,2459270.701412,17.191105,ZTF18aabfdpx,0.056085877000000006
Orion_V*,1,2459268.658044,17.77849,ZTF18aabfdpx,0.09692743000000001
Orion_V*,2,2459260.7180324,15.369252,ZTF18aabfdpx,0.053754564000000005
Orion_V*,1,2459260.6705671,17.358427,ZTF18aabfdpx,0.06341858
Orion_V*,2,2459257.7038426,15.20527,ZTF18aabfdpx,0.03326599
Orion_V*,1,2459257.6737731,17.14411,ZTF18aabfdpx,0.054609016
Orion_V*,1,2459255.6777199,17.44931,ZTF18aabfdpx,0.065374814
Orion_V*,1,2459253.6748611,17.30377,ZTF18aabfdpx,0.062079366000000004
Orion_V*,1,2459251.6416551,17.446243,ZTF18aabfdpx,0.06307597
Orion_V*,2,2459249.6918519,16.348843,ZTF18aabfdpx,0.041681338000000005
Orion_V*,2,2459233.7487037,15.55576,ZTF18aabfdpx,0.06477974
Orion_V*,1,2459233.6962153,17.574469,ZTF18aabfdpx,0.07129442
Orion_V*,1,2459231.7302778,17.2967,ZTF18aabfdpx,0.06413496
Orion_V*,2,2459227.7589583,15.255792,ZTF18aabfdpx,0.038902126
Orion_V*,1,2459227.7077315,17.212446,ZTF18aabfdpx,0.08528738
Orion_V*,1,2459223.6650694,17.554346,ZTF18aabfdpx,0.0688348
Orion_V*,1,2459221.6742824,17.102467,ZTF18aabfdpx,0.069563255
Orion_V*,1,2459215.7035417,17.829788,ZTF18aabfdpx,0.09681184600000001
Orion_V*,2,2459215.6733218,15.560714,ZTF18aabfdpx,0.040857688
Orion_V*,2,2459207.7560764,15.471434,ZTF18aabfdpx,0.05242982
Orion_V*,1,2459205.7955787,17.878857,ZTF18aabfdpx,0.08335532
Orion_V*,1,2459203.8238773,18.335512,ZTF18aabfdpx,0.12324709
Orion_V*,2,2459200.7586574,16.293299,ZTF18aabfdpx,0.09269713
TTau*,1,2459200.701169,18.121986,ZTF18aabfdpx,0.14381249999999998
Orion_V*,1,2459198.8279861,17.059523,ZTF18aabfdpx,0.053387333
Orion_V*,2,2459196.7644676,16.313845,ZTF18aabfdpx,0.051842110000000004
Orion_V*,1,2459194.7165046,17.003271,ZTF18aabfdpx,0.057918258
Orion_V*,1,2459189.8847222,17.21259,ZTF18aabfdpx,0.07664175000000001
Orion_V*,2,2459189.8706829,15.36704,ZTF18aabfdpx,0.034858834000000005
Orion_V*,1,2459187.866794,17.167185,ZTF18aabfdpx,0.059290174
Orion_V*,2,2459181.7876273,15.279951,ZTF18aabfdpx,0.044461463
Orion_V*,1,2459181.7133796,17.263653,ZTF18aabfdpx,0.06324410400000001
Orion_V*,1,2459179.9422454,17.920618,ZTF18aabfdpx,0.082431614
Orion_V*,2,2459179.8317014,16.218557,ZTF18aabfdpx,0.059517536
Orion_V*,1,2459177.9033681,17.103456,ZTF18aabfdpx,0.05968712
Orion_V*,2,2459177.8744097,15.198953,ZTF18aabfdpx,0.022236029
Orion_V*,1,2459175.8073727,17.23302,ZTF18aabfdpx,0.07027641
Orion_V*,1,2459171.90625,17.812765,ZTF18aabfdpx,0.06995743
Orion_V*,2,2459171.8534606,15.619354,ZTF18aabfdpx,0.08861621500000001
Orion_V*,1,2459169.8638426,18.020992,ZTF18aabfdpx,0.10535707
Orion_V*,1,2459167.9010995,17.272749,ZTF18aabfdpx,0.039212376
Orion_V*,1,2459165.8043287,17.12022,ZTF18aabfdpx,0.067396626
Orion_V*,2,2459158.8682639,16.071354,ZTF18aabfdpx,0.03970551
Orion_V*,1,2459158.8225231,18.047903,ZTF18aabfdpx,0.09060409
Orion_V*,2,2459153.9483681,16.51456,ZTF18aabfdpx,0.08973346
Orion_V*,1,2459151.8827662,17.38953,ZTF18aabfdpx,0.060843747000000004
Orion_V*,2,2459151.8680208,15.493054,ZTF18aabfdpx,0.038114257000000006
Orion_V*,1,2459143.8813773,17.505209,ZTF18aabfdpx,0.057573266000000005
