# Name,RA,DEC,Source
2MASS J05270547+0025075,05:27:05.47,+00:25:07.52,Tajiri+2019 Capistrant+2022
2MASS J05233100-0104237,05:23:31.00,-01:04:23.79,Capistrant+2022
2MASS J04215740+2826355,04:21:57.40,+28:26:35.55,Capistrant+2022
2MASS J08470165-7859345,08:47:01.66,-78:59:34.51,Tajiri+2019 Capistrant+2022
2MASS J18362779-3902561,18:36:27.79,-39:02:56.18,Capistrant+2022
2MASS J22014287+6944364,22:01:42.88,+69:44:36.49,Capistrant+2022
2MASS J16152023-3255051,16:15:20.23,-32:55:05.13,Capistrant+2022
2MASS J15545141-3154463,15:54:51.41,-31:54:46.32,Capistrant+2022
2MASS J04323726-0934054,04:32:37.27,-09:34:05.50,Capistrant+2022
2MASS J10581677-7717170,10:58:16.77,-77:17:17.06,Capistrant+2022
2MASS J00134052+7702104,00:13:40.52,+77:02:10.49,Capistrant+2022 Capistrant+2022
2MASS J22165406+7003450,22:16:54.06,+70:03:45.00,Capistrant+2022
2MASS J23011263-5858217,23:01:12.64,-58:58:21.71,Capistrant+2022
2MASS J22491626+7549438,22:49:16.26,+75:49:43.81,Capistrant+2022
2MASS J22163198+7002389,22:16:31.98,+70:02:38.94,Capistrant+2022
2MASS J00313068+6158509,00:31:30.69,+61:58:50.99,Capistrant+2022
2MASS J07154782-4831540,07:15:47.83,-48:31:54.04,Capistrant+2022
2MASS J22473988-2950491,22:47:39.89,-29:50:49.17,Tajiri+2019 Capistrant+2022
2MASS J00100815+5912590,00:10:08.16,+59:12:59.05,Capistrant+2022
2MASS J04173372+2820468,04:17:33.73,+28:20:46.85,Capistrant+2022
2MASS J03312887+3030531,03:31:28.87,+30:30:53.19,Capistrant+2022
2MASS J02152532+7635196,02:15:25.32,+76:35:19.68,Capistrant+2022
2MASS J19015523-3723407,19:01:55.24,-37:23:40.79,Capistrant+2022
2MASS J08284752-3429298,08:28:47.52,-34:29:29.90,Capistrant+2022
2MASS J10563044-7711393,10:56:30.45,-77:11:39.31,Capistrant+2022
2MASS J21445940+5422541,21:44:59.40,+54:22:54.14,Capistrant+2022
2MASS J11064274-7636124,11:06:42.74,-76:36:12.44,Capistrant+2022
2MASS J03285217+3045055,03:28:52.18,+30:45:05.54,Capistrant+2022
2MASS J05432091+0906071,05:43:20.92,+09:06:07.11,Capistrant+2022
2MASS J22363685+6535428,22:36:36.86,+65:35:42.86,Capistrant+2022
2MASS J17110819-4031563,17:11:08.19,-40:31:56.31,Capistrant+2022
2MASS J03371138+3303032,03:37:11.38,+33:03:03.21,Capistrant+2022
2MASS J22190704+7350142,22:19:07.04,+73:50:14.24,Capistrant+2022
2MASS J21012919+7702373,21:01:29.20,+77:02:37.38,Capistrant+2022
2MASS J05575377-1405252,05:57:53.77,-14:05:25.30,Tajiri+2019 Capistrant+2022
2MASS J11393382-3040002,11:39:33.83,-30:40:00.29,Tajiri+2019 Capistrant+2022
2MASS J19000157-3637054,19:00:01.58,-36:37:05.42,Capistrant+2022
2MASS J22245724+5136516,22:24:57.24,+51:36:51.65,Capistrant+2022
2MASS J07540255-4608574,07:54:02.56,-46:08:57.48,Capistrant+2022
2MASS J05110205+2959282,05:11:02.06,+29:59:28.29,Capistrant+2022
2MASS J05362950+0904027,05:36:29.51,+09:04:02.73,Capistrant+2022
2MASS J22433926+7506302,22:43:39.26,+75:06:30.23,Capistrant+2022
2MASS J03490512+3856172,03:49:05.12,+38:56:17.28,Capistrant+2022
2MASS J11071206-7632232,11:07:12.07,-76:32:23.23,Capistrant+2022
2MASS J07541482-4626003,07:54:14.82,-46:26:00.30,Capistrant+2022
2MASS J07591156-5022468,07:59:11.57,-50:22:46.86,Capistrant+2022
2MASS J13405158-4535306,13:40:51.59,-45:35:30.67,Capistrant+2022
2MASS J08441637-7859080,08:44:16.38,-78:59:08.09,Capistrant+2022
2MASS J05412953+0907203,05:41:29.53,+09:07:20.40,Capistrant+2022
2MASS J05124474-0105248,05:12:44.74,-01:05:24.87,Tajiri+2019 Capistrant+2022
2MASS J21560960+6616330,21:56:09.60,+66:16:33.03,Capistrant+2022
2MASS J05303614+1030543,05:30:36.15,+10:30:54.39,Capistrant+2022
2MASS J07214664-3708279,07:21:46.65,-37:08:27.97,Capistrant+2022
2MASS J04590305+3003004,04:59:03.05,+30:03:00.44,Capistrant+2022
2MASS J05314340+1230220,05:31:43.40,+12:30:22.09,Capistrant+2022
2MASS J08023068-5149006,08:02:30.68,-51:49:00.64,Capistrant+2022
2MASS J16084997-2835528,16:08:49.97,-28:35:52.83,Tajiri+2019 Capistrant+2022
2MASS J05354600-0057522,05:35:46.01,-00:57:52.22,Capistrant+2022
2MASS J05351423-0543175,05:35:14.23,-05:43:17.59,Capistrant+2022
2MASS J05260948+1123358,05:26:09.48,+11:23:35.88,Capistrant+2022
2MASS J21055189+7722189,21:05:51.89,+77:22:18.99,Capistrant+2022
2MASS J22131219+7332585,22:13:12.19,+73:32:58.58,Capistrant+2022
2MASS J04141358+2812492,04:14:13.58,+28:12:49.24,Capistrant+2022
2MASS J12281319-7555060,12:28:13.20,-75:55:06.01,Capistrant+2022
2MASS J05352020-0247236,05:35:20.20,-02:47:23.70,Capistrant+2022
2MASS J05340731-0513454,05:34:07.32,-05:13:45.47,Tajiri+2019 Capistrant+2022
2MASS J05000000-0841364,05:00:00.00,-08:41:36.46,Tajiri+2019 Capistrant+2022
2MASS J12414162-6817421,12:41:41.62,-68:17:42.10,Capistrant+2022
2MASS J22363934+6535499,22:36:39.34,+65:35:49.91,Capistrant+2022
2MASS J23352288+4840410,23:35:22.88,+48:40:41.08,Capistrant+2022
2MASS J08293983-4016283,08:29:39.83,-40:16:28.33,Capistrant+2022
2MASS J16215472-2752053,16:21:54.73,-27:52:05.30,Capistrant+2022
2MASS J13042284-7650055,13:04:22.85,-76:50:05.53,Capistrant+2022
2MASS J03491954+3844387,03:49:19.54,+38:44:38.71,Capistrant+2022
2MASS J06300953+0941211,06:30:09.53,+09:41:21.15,Capistrant+2022
2MASS J05264870-0638230,05:26:48.71,-06:38:23.10,Tajiri+2019 Capistrant+2022
2MASS J00093755+5813106,00:09:37.55,+58:13:10.66,Capistrant+2022
2MASS J04153916+2818586,04:15:39.16,+28:18:58.62,Capistrant+2022
2MASS J07473195-4530407,07:47:31.96,-45:30:40.77,Tajiri+2019 Capistrant+2022
2MASS J05373003-0048520,05:37:30.04,-00:48:52.08,Capistrant+2022
2MASS J05294839+0254474,05:29:48.39,+02:54:47.46,Capistrant+2022
